Sample	Group	Hits
SRR8902815	YGJH,	250
SRR8902815	YHCN,	38
SRR8902815	YIEF,	293
SRR8902815	YJCG,	545
SRR8902815	YODB,	64
SRR8902815	YOGI,	415
SRR8902815	ZINT,	105
SRR8902815	ZITB,	319
SRR8902815	ZNTA,	599
SRR8902815	ZNTR,	179
SRR8902815	ZNUA,	141
SRR8902815	ZNUB,	328
SRR8902815	ZNUC,	243
SRR8902815	ZRAR,	512
SRR8902815	ZRAS,	477
SRR8902815	ZUPT,	239
SRR8902815	ZUR,	210
